key	en	ru	da	de	es	fi	fr	it	ja	ko	nl	no	pl	pt-BR	sv	tr	uk	zh	zh-Hant
cat.cat_buses	Buses	Автобусы	Busser	Busse	Autobuses	Bussit	Bus	Autobus	バス	버스	Bussen	Busser	Autobusy	Ônibus	Bussar	Otobüsler	Автобуси	巴士	公車
cat.cat_classicsport	Classic Sports	Классические спорткары	Klassiske sportsvogne	Klassische Sportwagen	Deportivos clásicos	Klassiset urheiluautot	Sportives classiques	Sportive classiche	クラシックスポーツ	클래식 스포츠카	Klassieke sportwagens	Klassiske sportsbiler	Klasyczne sportowe	Esportivos clássicos	Klassiska sportbilar	Klasik Spor	Класичні спорткари	经典跑车	經典跑車
cat.cat_construction	Construction	Стройтехника	Byggemaskiner	Baumaschinen	Obras	Työkoneet	Chantier	Cantiere	建設車両	건설 차량	Bouw	Anleggsmaskiner	Budowlane	Construção	Byggmaskiner	İş Makineleri	Будтехніка	工程车	工程車
cat.cat_emergency	Emergency	Спецслужбы	Udrykning	Einsatzfahrzeuge	Emergencias	Hälytysajoneuvot	Urgences	Emergenza	緊急車両	긴급 차량	Hulpdiensten	Utrykning	Ratunkowe	Emergência	Räddning	Acil Durum	Спецслужби	应急车辆	緊急救援
cat.cat_extreme	Extreme	Экстрим	Ekstrem	Extrem	Extremos	Extreme	Extrême	Estreme	エクストリーム	익스트림	Extreem	Ekstrem	Ekstremalne	Extremos	Extrem	Ekstrem	Екстрим	极限	極限
cat.cat_gta	GT Racing A	Гонки GT A	GT Racing A	GT-Rennen A	Carreras GT A	GT Racing A	Course GT A	Corse GT A	GTレーシングA	GT 레이싱 A	GT Racing A	GT Racing A	GT Racing A	Corrida GT A	GT Racing A	GT Racing A	Гонки GT A	GT赛车 A	GT賽車 A
cat.cat_gtr	GT Racing R	Гонки GT R	GT Racing R	GT-Rennen R	Carreras GT R	GT Racing R	Course GT R	Corse GT R	GTレーシングR	GT 레이싱 R	GT Racing R	GT Racing R	GT Racing R	Corrida GT R	GT Racing R	GT Racing R	Гонки GT R	GT赛车 R	GT賽車 R
cat.cat_hatchbacks	Hatchbacks	Хэтчбеки	Hatchbacks	Kompaktwagen	Compactos	Viistoperät	Compactes	Hatchback	ハッチバック	해치백	Hatchbacks	Kombibiler	Hatchbacki	Hatches	Halvkombi	Hatchbackler	Хетчбеки	两厢车	掀背車
cat.cat_monster	Monster Trucks	Монстр-траки	Monstertrucks	Monstertrucks	Monster trucks	Monsteriautot	Monster trucks	Monster truck	モンスタートラック	몬스터 트럭	Monstertrucks	Monstertrucker	Monster trucki	Monster Trucks	Monstertruckar	Canavar Kamyonlar	Монстр-траки	怪兽卡车	怪獸卡車
cat.cat_muscle	Muscle Cars	Маслкары	Muscle cars	Muscle Cars	Muscle cars	Muskeliautot	Muscle cars	Muscle car	マッスルカー	머슬카	Muscle cars	Muskelbiler	Muscle cars	Muscle Cars	Muskelbilar	Muscle Car'lar	Маслкари	肌肉车	肌肉車
cat.cat_pickups	Pickups	Пикапы	Pickupper	Pick-ups	Pick-ups	Avolava-autot	Pick-ups	Pick-up	ピックアップ	픽업트럭	Pick-ups	Pickuper	Pickupy	Picapes	Pickuper	Pikaplar	Пікапи	皮卡	皮卡
cat.cat_police	Police	Полиция	Politi	Polizei	Policía	Poliisi	Police	Polizia	警察	경찰	Politie	Politi	Policja	Polícia	Polis	Polis	Поліція	警车	警車
cat.cat_racing	Racing	Гонки	Racing	Rennwagen	Carreras	Kilpa-autot	Course	Corse	レーシング	레이싱	Race	Racing	Wyścigowe	Corrida	Racing	Yarış	Гонки	赛车	賽車
cat.cat_rally	Rally & Tuning	Ралли и тюнинг	Rally & Tuning	Rallye & Tuning	Rally & Tuning	Ralli ja tuning	Rallye & Tuning	Rally & Tuning	ラリー＆チューニング	랠리 & 튜닝	Rally & Tuning	Rally og tuning	Rajdowe i tuning	Rally e Tuning	Rally & Tuning	Ralli ve Tuning	Ралі й тюнінг	拉力与改装	拉力與改裝
cat.cat_retro	Retro	Ретро	Retro	Retro	Retro	Retro	Rétro	Retrò	レトロ	레트로	Retro	Retro	Retro	Retrô	Retro	Retro	Ретро	复古	復古
cat.cat_sedans	Sedans	Седаны	Sedaner	Limousinen	Sedanes	Sedanit	Berlines	Berline	セダン	세단	Sedans	Sedaner	Sedany	Sedãs	Sedaner	Sedanlar	Седани	轿车	轎車
cat.cat_service	Emergency & Service	Спецслужбы	Udrykning & Service	Einsatz & Service	Emergencias & Servicios	Hälytys ja huolto	Urgences & Services	Emergenza & Servizi	緊急・サービス	긴급 & 서비스	Hulpdiensten & Service	Utrykning og service	Ratunkowe i służbowe	Emergência e Serviço	Räddning & Service	Acil Durum ve Servis	Спецслужби та сервіс	应急与服务	緊急救援與服務
cat.cat_special	Special	Особые	Specielle	Spezial	Especiales	Erikoiset	Spéciales	Speciali	スペシャル	스페셜	Speciaal	Spesial	Specjalne	Especiais	Special	Özel	Особливі	特别	特別
cat.cat_sportcoupe	Sport Coupes	Спорткупе	Sportscoupéer	Sportcoupés	Cupés deportivos	Urheilucoupét	Coupés sport	Coupé sportive	スポーツクーペ	스포츠 쿠페	Sportcoupés	Sportskupeer	Sportowe coupé	Cupês esportivos	Sportkupéer	Spor Coupe'ler	Спорткупе	运动轿跑	運動雙門跑車
cat.cat_supercars	Supercars	Суперкары	Superbiler	Supercars	Superdeportivos	Superautot	Supercars	Supercar	スーパーカー	슈퍼카	Supercars	Superbiler	Supersamochody	Supercarros	Superbilar	Süper Arabalar	Суперкари	超级跑车	超跑
cat.cat_suv	SUVs	Внедорожники	SUV'er	SUVs	SUV	Maasturit	SUV	SUV	SUV	SUV	SUV's	SUV-er	SUV-y	SUVs	SUV:ar	SUV'lar	Позашляховики	SUV	休旅車
cat.cat_trucks	Trucks	Грузовики	Lastbiler	Lkw	Camiones	Kuorma-autot	Camions	Camion	トラック	트럭	Vrachtwagens	Lastebiler	Ciężarówki	Caminhões	Lastbilar	Kamyonlar	Вантажівки	卡车	卡車
cat.cat_vans	Vans & Food Trucks	Фургоны и фудтраки	Varevogne & Foodtrucks	Vans & Foodtrucks	Furgonetas & Food trucks	Pakettiautot ja ruokarekat	Vans & Food trucks	Van & Food truck	バン＆フードトラック	밴 & 푸드트럭	Bestelbussen & Foodtrucks	Varebiler og food trucks	Vany i food trucki	Vans e Food Trucks	Skåpbilar & Foodtrucks	Minibüsler ve Yemek Kamyonları	Фургони та фудтраки	厢式车与餐车	廂型車與餐車
ctl.ability1	Find matches	Поиск совпадений	Find ens biler	Gleiche finden	Buscar iguales	Etsi vastaavat	Trouver les mêmes	Trova uguali	同じ車を探す	같은 차 찾기	Gelijke zoeken	Finn like	Znajdź pasujące	Encontrar iguais	Hitta lika	Eşleşenleri bul	Пошук збігів	查找同款	尋找同款
ctl.ability2	Auto-collect	Автосбор совпадений	Auto-opsamling	Auto-Sammeln	Autorrecogida	Automaattikeräys	Collecte auto	Raccolta automatica	自動回収	자동 수집	Auto-verzamelen	Autosamling	Autozbieranie	Coleta automática	Autoplock	Otomatik toplama	Автозбір	自动收集	自動收集
ctl.ability3	Rack highlight	Подсветка стеллажа	Fremhæv reol	Regal hervorheben	Resaltar estantería	Hyllykön korostus	Surbrillance du rayonnage	Evidenzia scaffale	ラックのハイライト	진열대 강조	Stelling markeren	Reolmarkering	Podświetlenie regału	Destacar estante	Markera hylla	Raf ünitesi vurgusu	Підсвітка стелажа	货架高亮	貨架標示
