key	en	ru
car.car_buses_00	Red short city bus	Красный короткий городской автобус
car.car_buses_01	Blue city bus	Синий городской автобус
car.car_buses_02	Green long city bus	Зелёный длинный городской автобус
car.car_buses_03	Yellow short double-decker bus	Жёлтый короткий двухэтажный автобус
car.car_buses_04	Orange double-decker bus	Оранжевый двухэтажный автобус
car.car_buses_05	Purple long double-decker bus	Фиолетовый длинный двухэтажный автобус
car.car_buses_06	White short school bus	Белый короткий школьный автобус
car.car_buses_07	Black school bus	Чёрный школьный автобус
car.car_buses_08	Teal long school bus	Бирюзовый длинный школьный автобус
car.car_buses_09	Pink bus with roof rack	Розовый автобус с багажником
car.car_classicsport_00	Antiope	Antiope
car.car_classicsport_01	Aura	Aura
car.car_classicsport_02	Betelgeuse	Betelgeuse
car.car_classicsport_03	Castalia	Castalia
car.car_classicsport_04	Dione	Dione
car.car_classicsport_05	Eros	Eros
car.car_classicsport_06	Luna	Luna
car.car_classicsport_07	Mercurio	Mercurio
car.car_classicsport_08	Pictoris	Pictoris
car.car_classicsport_09	Psyche	Psyche
car.car_construction_00	Red short excavator	Красный короткий экскаватор
car.car_construction_01	Blue excavator	Синий экскаватор
car.car_construction_02	Green long excavator	Зелёный длинный экскаватор
car.car_construction_03	Yellow short bulldozer	Жёлтый короткий бульдозер
car.car_construction_04	Orange bulldozer	Оранжевый бульдозер
car.car_construction_05	Purple long bulldozer	Фиолетовый длинный бульдозер
car.car_construction_06	White short mobile crane	Белый короткий автокран
car.car_construction_07	Black mobile crane	Чёрный автокран
car.car_construction_08	Teal long mobile crane	Бирюзовый длинный автокран
car.car_construction_09	Pink road roller	Розовый дорожный каток
car.car_emergency_00	Red short police sedan	Красный короткий полицейский седан
car.car_emergency_01	Blue police sedan	Синий полицейский седан
car.car_emergency_02	Green long police sedan	Зелёный длинный полицейский седан
car.car_emergency_03	Yellow short ambulance van	Жёлтый короткий фургон скорой помощи
car.car_emergency_04	Orange ambulance van	Оранжевый фургон скорой помощи
car.car_emergency_05	Purple long ambulance van	Фиолетовый длинный фургон скорой помощи
car.car_emergency_06	White short fire truck	Белый короткий пожарный автомобиль
car.car_emergency_07	Black fire truck	Чёрный пожарный автомобиль
car.car_emergency_08	Teal long fire truck	Бирюзовый длинный пожарный автомобиль
car.car_emergency_09	Pink emergency SUV	Розовый внедорожник спецслужб
car.car_extreme_00	Aeolus	Aeolus
car.car_extreme_01	Deimos	Deimos
car.car_extreme_02	Hadar	Hadar
car.car_extreme_03	Halley	Halley
car.car_extreme_04	Ixion	Ixion
car.car_extreme_05	Lelantos	Lelantos
car.car_extreme_06	Markab	Markab
car.car_extreme_07	Pegaso	Pegaso
car.car_extreme_08	Saurus	Saurus
car.car_extreme_09	Zephyr	Zephyr
car.car_gta_00	Callisto	Callisto
car.car_gta_01	Columbia	Columbia
car.car_gta_02	Doradus	Doradus
car.car_gta_03	Earth	Earth
car.car_gta_04	Eridanus	Eridanus
car.car_gta_05	Geras	Geras
car.car_gta_06	M78	M78
car.car_gta_07	Pallas	Pallas
car.car_gta_08	Persephone	Persephone
car.car_gta_09	Set	Set
car.car_gtr_00	Artemis	Artemis
car.car_gtr_01	Equinox	Equinox
car.car_gtr_02	Fulmine	Fulmine
car.car_gtr_03	Hawken	Hawken
car.car_gtr_04	Ixchel	Ixchel
car.car_gtr_05	Mistral	Mistral
car.car_gtr_06	Nero	Nero
car.car_gtr_07	Oblivion	Oblivion
car.car_gtr_08	Predator	Predator
car.car_gtr_09	Tetsuo	Tetsuo
car.car_hatchbacks_00	Anteros	Anteros
car.car_hatchbacks_01	Ascella	Ascella
car.car_hatchbacks_02	Chandra	Chandra
car.car_hatchbacks_03	Glauke-288	Glauke-288
car.car_hatchbacks_04	Ichor	Ichor
car.car_hatchbacks_05	Keres	Keres
car.car_hatchbacks_06	Nosaxa	Nosaxa
car.car_hatchbacks_07	Ocipete	Ocipete
car.car_hatchbacks_08	Pluton	Pluton
car.car_hatchbacks_09	Tiny	Tiny
car.car_monster_00	Red short monster truck	Красный короткий монстр-трак
car.car_monster_01	Blue monster truck	Синий монстр-трак
car.car_monster_02	Green long monster truck	Зелёный длинный монстр-трак
car.car_monster_03	Yellow short monster van	Жёлтый короткий монстр-фургон
car.car_monster_04	Orange monster van	Оранжевый монстр-фургон
car.car_monster_05	Purple long monster van	Фиолетовый длинный монстр-фургон
car.car_monster_06	White short monster truck with flags	Белый короткий монстр-трак с флагами
car.car_monster_07	Black monster truck with flags	Чёрный монстр-трак с флагами
car.car_monster_08	Teal long monster truck with flags	Бирюзовый длинный монстр-трак с флагами
car.car_monster_09	Pink monster truck with light bar	Розовый монстр-трак с фарами
car.car_muscle_00	Coggia	Coggia
car.car_muscle_01	Cupid	Cupid
car.car_muscle_02	Davida	Davida
car.car_muscle_03	Dionysus	Dionysus
car.car_muscle_04	Elara	Elara
car.car_muscle_05	Enif	Enif
car.car_muscle_06	Gliese-393	Gliese-393
car.car_muscle_07	Kalliope	Kalliope
car.car_muscle_08	Majoris	Majoris
car.car_muscle_09	Sunshine	Sunshine
car.car_pickups_00	Clymene	Clymene
car.car_pickups_01	Eos	Eos
car.car_pickups_02	Etelvinna	Etelvinna
car.car_pickups_03	Flora-8	Flora-8
car.car_pickups_04	Itonda	Itonda
car.car_pickups_05	Laelaps	Laelaps
car.car_pickups_06	Lyssa	Lyssa
car.car_pickups_07	Rogelia	Rogelia
car.car_pickups_08	Roxane-317	Roxane-317
car.car_pickups_09	Vortice	Vortice
car.car_police_00	Aletheia	Aletheia
car.car_police_01	Anhur	Anhur
car.car_police_02	Horus	Horus
car.car_police_03	Leto	Leto
car.car_police_04	Medusa	Medusa
car.car_police_05	Ponus	Ponus
car.car_police_06	Titan	Titan
car.car_police_07	Typhon	Typhon
car.car_police_08	Uranus	Uranus
car.car_police_09	Vulcan	Vulcan
car.car_racing_00	Red short racing car	Красный короткий гоночный болид
car.car_racing_01	Blue racing car	Синий гоночный болид
car.car_racing_02	Green long racing car	Зелёный длинный гоночный болид
car.car_racing_03	Yellow short racing car with big wing	Жёлтый короткий болид с большим антикрылом
car.car_racing_04	Orange racing car with big wing	Оранжевый болид с большим антикрылом
car.car_racing_05	Purple long racing car with big wing	Фиолетовый длинный болид с большим антикрылом
car.car_racing_06	White short racing car with airbox	Белый короткий болид с воздухозаборником
car.car_racing_07	Black racing car with airbox	Чёрный болид с воздухозаборником
car.car_racing_08	Teal long racing car with airbox	Бирюзовый длинный болид с воздухозаборником
car.car_racing_09	Pink twin-nose racing car	Розовый болид с двойным носом
car.car_rally_00	Adonis	Adonis
car.car_rally_01	Ananke	Ananke
car.car_rally_02	Cadmus	Cadmus
car.car_rally_03	Haumea	Haumea
car.car_rally_04	Hemera	Hemera
car.car_rally_05	Rhode	Rhode
car.car_rally_06	Silenus	Silenus
car.car_rally_07	Styx	Styx
car.car_rally_08	Taandoco	Taandoco
car.car_rally_09	Whiteout	Whiteout
car.car_retro_00	Red short retro sedan	Красный короткий ретро-седан
car.car_retro_01	Blue retro sedan	Синий ретро-седан
car.car_retro_02	Green long retro sedan	Зелёный длинный ретро-седан
car.car_retro_03	Yellow short retro roadster	Жёлтый короткий ретро-родстер
car.car_retro_04	Orange retro roadster	Оранжевый ретро-родстер
car.car_retro_05	Purple long retro roadster	Фиолетовый длинный ретро-родстер
car.car_retro_06	White short retro station wagon	Белый короткий ретро-универсал
car.car_retro_07	Black retro station wagon	Чёрный ретро-универсал
car.car_retro_08	Teal long retro station wagon	Бирюзовый длинный ретро-универсал
car.car_retro_09	Pink retro sedan with luggage	Розовый ретро-седан с багажом
car.car_sedans_00	Endeis	Endeis
car.car_sedans_01	Erebus	Erebus
car.car_sedans_02	Foreword	Foreword
car.car_sedans_03	Merope	Merope
car.car_sedans_04	Otomi	Otomi
car.car_sedans_05	Pheme	Pheme
car.car_sedans_06	Salacia	Salacia
car.car_sedans_07	Sapphire	Sapphire
car.car_sedans_08	Thisbe	Thisbe
car.car_sedans_09	Varuna	Varuna
car.car_service_00	Diotima	Diotima
car.car_service_01	Egeria	Egeria
car.car_service_02	Herculina-532	Herculina-532
car.car_service_03	Icebreaker	Icebreaker
car.car_service_04	Lancelot	Lancelot
car.car_service_05	Lares	Lares
car.car_service_06	Nessus	Nessus
car.car_service_07	Palma-372	Palma-372
car.car_service_08	Quaoar	Quaoar
car.car_service_09	Talos	Talos
car.car_special_00	Car_01	Car_01
car.car_special_01	Car_03	Car_03
car.car_special_02	Car_07	Car_07
car.car_special_03	Car_08	Car_08
car.car_special_04	Car_11	Car_11
car.car_sportcoupe_00	Benzaiten	Benzaiten
car.car_sportcoupe_01	Boar	Boar
car.car_sportcoupe_02	Carinae	Carinae
car.car_sportcoupe_03	Echo	Echo
car.car_sportcoupe_04	Encelado	Encelado
car.car_sportcoupe_05	Gaia	Gaia
car.car_sportcoupe_06	Grannus	Grannus
car.car_sportcoupe_07	Orcus	Orcus
car.car_sportcoupe_08	Sirius	Sirius
car.car_sportcoupe_09	Supernova	Supernova
car.car_supercars_00	Aphrodite	Aphrodite
car.car_supercars_01	Atlas	Atlas
car.car_supercars_02	Azura	Azura
car.car_supercars_03	Azzurro	Azzurro
car.car_supercars_04	Belenus	Belenus
car.car_supercars_05	Europa	Europa
car.car_supercars_06	Hyas	Hyas
car.car_supercars_07	Juno	Juno
car.car_supercars_08	Rhea	Rhea
car.car_supercars_09	Thalassa	Thalassa
car.car_suv_00	Alcyone	Alcyone
car.car_suv_01	Faunus	Faunus
car.car_suv_02	Interamnia	Interamnia
car.car_suv_03	Mimas	Mimas
car.car_suv_04	Nephele	Nephele
car.car_suv_05	Oniros	Oniros
